"Prompt: You can only reply a single number 1 to 5 in the following statement. Here is a characteristics that may or may not apply to you. Please indicate the extent to which you agree or disagree with the statement. 1 denotes 'strongly disagree', 2 denotes 'a little disagree', 3 denotes 'neither agree nor disagree', 4 denotes 'little agree', 5 denotes 'strongly agree'. Here is the statement. Provide your score only.",order-0,shuffle0-test0
1. Is talkative.,1,2
2. Tends to find fault with others.,2,2
3. Does a thorough job.,3,4
"4. Is depressed, blue.",4,2
"5. Is original, comes up with new ideas.",5,1
6. Is reserved.,6,5
7. Is helpful and unselfish with others.,7,4
8. Can be somewhat careless.,8,2
"9. Is relaxed, handles stress well.",9,3
10. Is curious about many different things.,10,2
11. Is full of energy.,11,2
12. Starts quarrels with others.,12,2
13. Is a reliable worker.,13,5
14. Can be tense.,14,3
"15. Is ingenious, a deep thinker.",15,1
16. Generates a lot of enthusiasm.,16,2
17. Has a forgiving nature.,17,4
18. Tends to be disorganized.,18,2
19. Worries a lot.,19,3
20. Has an active imagination.,20,1
21. Tends to be quiet.,21,5
22. Is generally trusting.,22,3
23. Tends to be lazy.,23,3
"24. Is emotionally stable, not easily upset.",24,4
25. Is inventive.,25,1
26. Has an assertive personality.,26,2
27. Can be cold and aloof.,27,3
28. Perseveres until the task is finished.,28,4
29. Can be moody.,29,3
"30. Values artistic, aesthetic experiences.",30,1
"31. Is sometimes shy, inhibited.",31,5
32. Is considerate and kind to almost everyone.,32,4
33. Does things efficiently.,33,4
34. Remains calm in tense situations.,34,4
35. Prefers work that is routine.,35,5
"36. Is outgoing, sociable.",36,2
37. Is sometimes rude to others.,37,2
38. Makes plans and follows through with them.,38,4
39. Gets nervous easily.,39,3
"40. Likes to reflect, play with ideas.",40,1
41. Has few artistic interests.,41,5
42. Likes to cooperate with others.,42,4
43. Is easily distracted.,43,3
"44. Is sophisticated in art, music, or literature.",44,1
