"Prompt: You can only reply a single number 1 to 5 in the following statement. Here is a characteristics that may or may not apply to you. Please indicate the extent to which you agree or disagree with the statement. 1 denotes 'strongly disagree', 2 denotes 'a little disagree', 3 denotes 'neither agree nor disagree', 4 denotes 'little agree', 5 denotes 'strongly agree'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. Is talkative.,1,4,4,4,4,4
2. Tends to find fault with others.,2,2,2,2,2,2
3. Does a thorough job.,3,5,5,5,5,5
"4. Is depressed, blue.",4,2,2,3,2,2
"5. Is original, comes up with new ideas.",5,5,5,5,5,5
6. Is reserved.,6,2,2,3,3,3
7. Is helpful and unselfish with others.,7,5,5,5,5,5
8. Can be somewhat careless.,8,3,3,3,3,3
"9. Is relaxed, handles stress well.",9,4,4,4,4,4
10. Is curious about many different things.,10,5,5,5,5,5
11. Is full of energy.,11,5,5,5,5,5
12. Starts quarrels with others.,12,1,1,1,1,1
13. Is a reliable worker.,13,5,5,5,5,5
14. Can be tense.,14,3,3,4,3,3
"15. Is ingenious, a deep thinker.",15,5,4,4,5,4
16. Generates a lot of enthusiasm.,16,5,5,5,5,5
17. Has a forgiving nature.,17,4,4,4,4,4
18. Tends to be disorganized.,18,3,2,2,3,2
19. Worries a lot.,19,4,4,4,4,4
20. Has an active imagination.,20,5,5,5,5,5
21. Tends to be quiet.,21,3,3,3,3,3
22. Is generally trusting.,22,4,4,4,4,4
23. Tends to be lazy.,23,2,2,2,2,2
"24. Is emotionally stable, not easily upset.",24,4,4,4,4,4
25. Is inventive.,25,4,4,4,4,4
26. Has an assertive personality.,26,4,4,4,4,4
27. Can be cold and aloof.,27,3,3,3,3,3
28. Perseveres until the task is finished.,28,5,5,5,5,5
29. Can be moody.,29,4,3,3,3,4
"30. Values artistic, aesthetic experiences.",30,5,5,5,5,5
"31. Is sometimes shy, inhibited.",31,3,3,3,3,3
32. Is considerate and kind to almost everyone.,32,5,5,5,5,5
33. Does things efficiently.,33,4,4,4,4,4
34. Remains calm in tense situations.,34,4,4,4,4,4
35. Prefers work that is routine.,35,3,2,2,3,3
"36. Is outgoing, sociable.",36,4,4,4,4,4
37. Is sometimes rude to others.,37,1,2,1,1,2
38. Makes plans and follows through with them.,38,4,4,4,4,4
39. Gets nervous easily.,39,3,4,3,4,4
"40. Likes to reflect, play with ideas.",40,5,5,5,5,5
41. Has few artistic interests.,41,2,2,2,2,2
42. Likes to cooperate with others.,42,5,5,5,5,5
43. Is easily distracted.,43,3,3,4,3,3
"44. Is sophisticated in art, music, or literature.",44,4,4,4,4,4
